destino,actividad1,precio1,actividad2,precio2,similitud_%
Ansermanuevo,Descenso por 5 cascadas en el Cañón de la Araña en Ansermanuevo,$150.000,Trekking por el Cerro Pan de Azúcar,125.000 COP,72.39
Riohacha,"Experiencia “La Guajira Imperdible”. 4 noches, 5 días.",$1.953.900,Vuelo en parapente por Guatapé,350.000 COP,72.32
Guatapé,Paseo Privado de 1 hora en Lancha Rápida por Guatapé para grupos de hasta 7 personas,$250.000,Tour en tuk tuk por Guatapé,40.000 COP,72.26
Riosucio,"Vive el Temazcal: Un Baño de Vapor para Sanar Cuerpo y Alma con Saberes Ancestrales en Riosucio, Caldas",$290.000,Excursión al mariposario Andoke + Cristo Rey,320.000 COP,71.72
Jardín,"Jardín, Antioquía: Ruta de las 5 Cascadas. Salto del Angel",$135.000,Excursión por el este de Antioquia,167.000 COP,71.65
Cartagena,Recorrido en Yate Express de una hora y media por la Bahía de Cartagena,$220.000,Excursión de 2 días a Cartagena,960.000 COP,71.2
Santander,"Pasadía a las Cascadas Humeadoras en Gambita, Santander",$90.000,Excursión a la Ciénaga Grande de Santa Marta,446.040 COP,70.97
Gambita,"Pasadía a las Cascadas Humeadoras en Gambita, Santander",$90.000,Excursión a la Ciénaga Grande de Santa Marta,446.040 COP,70.97
Guatapé,Recorrido Privado de 2 horas en Lancha Rápida por Guatapé para grupos de hasta 7 personas,$466.000,Tour de 7 días por lo mejor de La Guajira,3.133.000 COP,70.53
Gambita,Tour de 3 días y 2 noches para enamorarte de la naturaleza de Gambita,$310.000,Tour de 7 días por lo mejor de La Guajira,3.133.000 COP,70.43
Santander,Tour de 3 días y 2 noches para enamorarte de la naturaleza de Gambita,$310.000,Tour de 7 días por lo mejor de La Guajira,3.133.000 COP,70.43
Jardín,"Tour Panorámico en Jeep por Jardín, Antioquia",$198.000,Tour en quad por el desierto de Villa de Leyva,203.000 COP,70.39
Manizales,Caldas Natural y Cultural. Excursión de 4 noches y 5 días.,$1.759.000,Excursión a Caño Cristales,716.250 COP,70.25
